;periodo;fecham;cod_01;PatEf
332;202006;2020-06-01 00:00:00;8;3.1325E+12
333;202006;2020-06-01 00:00:00;14;2.69326E+11
334;202006;2020-06-01 00:00:00;4;23639541784
335;202006;2020-06-01 00:00:00;23;1.15793E+11
336;202006;2020-06-01 00:00:00;3;3.1497E+12
337;202006;2020-06-01 00:00:00;13;8.69825E+11
338;202006;2020-06-01 00:00:00;15;5.16159E+12
339;202006;2020-06-01 00:00:00;20;3.28485E+11
340;202006;2020-06-01 00:00:00;10;9.11641E+11
341;202006;2020-06-01 00:00:00;24;5.28021E+12
342;202006;2020-06-01 00:00:00;6;7.28661E+11
343;202006;2020-06-01 00:00:00;16;1.23632E+11
344;202006;2020-06-01 00:00:00;11;29341000499
345;202007;2020-07-01 00:00:00;3;3.1783E+12
346;202007;2020-07-01 00:00:00;15;5.12694E+12
347;202007;2020-07-01 00:00:00;8;3.18991E+12
348;202007;2020-07-01 00:00:00;23;1.16852E+11
349;202007;2020-07-01 00:00:00;5;3.10799E+11
350;202007;2020-07-01 00:00:00;14;2.67599E+11
351;202007;2020-07-01 00:00:00;18;4.83701E+12
352;202007;2020-07-01 00:00:00;13;8.72165E+11
353;202007;2020-07-01 00:00:00;10;9.14549E+11
354;202007;2020-07-01 00:00:00;24;5.39935E+12
355;202007;2020-07-01 00:00:00;6;7.8453E+11
356;202007;2020-07-01 00:00:00;19;3.21101E+12
357;202007;2020-07-01 00:00:00;21;1.79423E+11
358;202007;2020-07-01 00:00:00;20;3.30971E+11
359;202007;2020-07-01 00:00:00;16;1.23856E+11
360;202007;2020-07-01 00:00:00;11;28916597018
361;202007;2020-07-01 00:00:00;17;7.55747E+11
362;202007;2020-07-01 00:00:00;4;23669386960
363;202008;2020-08-01 00:00:00;8;3.08661E+12
364;202008;2020-08-01 00:00:00;18;4.75213E+12
365;202008;2020-08-01 00:00:00;11;28699898000
366;202008;2020-08-01 00:00:00;13;8.78351E+11
367;202008;2020-08-01 00:00:00;6;7.99896E+11
368;202008;2020-08-01 00:00:00;10;9.07775E+11
369;202008;2020-08-01 00:00:00;16;1.23923E+11
370;202008;2020-08-01 00:00:00;14;2.69579E+11
371;202008;2020-08-01 00:00:00;20;3.34333E+11
372;202008;2020-08-01 00:00:00;23;1.18901E+11
373;202008;2020-08-01 00:00:00;15;4.97086E+12
374;202008;2020-08-01 00:00:00;24;5.14769E+12
375;202008;2020-08-01 00:00:00;17;7.90148E+11
376;202008;2020-08-01 00:00:00;3;3.134E+12
377;202008;2020-08-01 00:00:00;5;3.11524E+11
378;202008;2020-08-01 00:00:00;21;1.86143E+11
379;202008;2020-08-01 00:00:00;4;23675240857
380;202008;2020-08-01 00:00:00;19;3.13327E+12
381;202009;2020-09-01 00:00:00;17;7.97909E+11
382;202009;2020-09-01 00:00:00;16;1.24667E+11
383;202009;2020-09-01 00:00:00;8;3.1438E+12
384;202009;2020-09-01 00:00:00;20;3.36532E+11
385;202009;2020-09-01 00:00:00;6;7.97608E+11
386;202009;2020-09-01 00:00:00;5;3.15172E+11
387;202009;2020-09-01 00:00:00;3;3.13461E+12
388;202009;2020-09-01 00:00:00;18;4.69553E+12
389;202009;2020-09-01 00:00:00;13;8.82188E+11
390;202009;2020-09-01 00:00:00;21;1.89989E+11
391;202009;2020-09-01 00:00:00;14;2.7452E+11
392;202009;2020-09-01 00:00:00;23;1.07576E+11
393;202009;2020-09-01 00:00:00;19;3.14873E+12
394;202009;2020-09-01 00:00:00;15;5.0053E+12
395;202009;2020-09-01 00:00:00;10;9.07494E+11
396;202009;2020-09-01 00:00:00;4;23693702475
397;202009;2020-09-01 00:00:00;24;5.15762E+12
398;202009;2020-09-01 00:00:00;11;28360557681
399;202010;2020-10-01 00:00:00;5;3.18293E+11
400;202010;2020-10-01 00:00:00;3;3.13546E+12
401;202010;2020-10-01 00:00:00;15;4.9829E+12
402;202010;2020-10-01 00:00:00;17;8.10697E+11
403;202010;2020-10-01 00:00:00;23;1.09815E+11
404;202010;2020-10-01 00:00:00;13;8.8952E+11
405;202010;2020-10-01 00:00:00;16;1.24921E+11
406;202010;2020-10-01 00:00:00;4;23675573712
407;202010;2020-10-01 00:00:00;20;3.38126E+11
408;202010;2020-10-01 00:00:00;10;9.13383E+11
409;202010;2020-10-01 00:00:00;18;4.76313E+12
410;202010;2020-10-01 00:00:00;24;5.21897E+12
411;202010;2020-10-01 00:00:00;6;8.06739E+11
412;202010;2020-10-01 00:00:00;21;1.96075E+11
413;202010;2020-10-01 00:00:00;14;2.76056E+11
414;202010;2020-10-01 00:00:00;19;3.07221E+12
415;202010;2020-10-01 00:00:00;8;3.16342E+12
416;202010;2020-10-01 00:00:00;11;28311173688
417;202011;2020-11-01 00:00:00;11;27986214151
418;202011;2020-11-01 00:00:00;16;1.22009E+11
419;202011;2020-11-01 00:00:00;19;3.10431E+12
420;202011;2020-11-01 00:00:00;6;8.2639E+11
421;202011;2020-11-01 00:00:00;17;8.22271E+11
422;202011;2020-11-01 00:00:00;24;5.0375E+12
423;202011;2020-11-01 00:00:00;20;3.41269E+11
424;202011;2020-11-01 00:00:00;23;1.09471E+11
425;202011;2020-11-01 00:00:00;21;1.99127E+11
426;202011;2020-11-01 00:00:00;13;8.96064E+11
427;202011;2020-11-01 00:00:00;3;3.15827E+12
428;202011;2020-11-01 00:00:00;18;4.854E+12
429;202011;2020-11-01 00:00:00;8;3.1957E+12
430;202011;2020-11-01 00:00:00;4;23740085073
431;202011;2020-11-01 00:00:00;14;2.78984E+11
432;202011;2020-11-01 00:00:00;10;9.20685E+11
433;202011;2020-11-01 00:00:00;5;3.25093E+11
434;202011;2020-11-01 00:00:00;15;5.04644E+12
435;202012;2020-12-01 00:00:00;14;2.77045E+11
436;202012;2020-12-01 00:00:00;5;3.37406E+11
437;202012;2020-12-01 00:00:00;15;4.97152E+12
438;202012;2020-12-01 00:00:00;20;3.42732E+11
439;202012;2020-12-01 00:00:00;18;4.8785E+12
440;202012;2020-12-01 00:00:00;10;9.26896E+11
441;202012;2020-12-01 00:00:00;11;27425437574
442;202012;2020-12-01 00:00:00;21;2.06963E+11
443;202012;2020-12-01 00:00:00;4;23742602516
444;202012;2020-12-01 00:00:00;8;3.22683E+12
445;202012;2020-12-01 00:00:00;17;8.28323E+11
446;202012;2020-12-01 00:00:00;19;3.04466E+12
447;202012;2020-12-01 00:00:00;6;8.43727E+11
448;202012;2020-12-01 00:00:00;3;3.14392E+12
449;202012;2020-12-01 00:00:00;24;5.14384E+12
450;202012;2020-12-01 00:00:00;16;1.21949E+11
