Columna1;periodo;fecham;cod_01;PatEf
460;202002;2020-02-01 00:00:00;14;2,59658E+11
461;202206;2022-06-01 00:00:00;14;3,33937E+11
462;201912;2019-12-01 00:00:00;14;2,51647E+11
463;202202;2022-02-01 00:00:00;14;3,06281E+11
464;201907;2019-07-01 00:00:00;14;2,4536E+11
465;201902;2019-02-01 00:00:00;14;2,36798E+11
466;202207;2022-07-01 00:00:00;14;3,41908E+11
467;202103;2021-03-01 00:00:00;14;2,80465E+11
468;202208;2022-08-01 00:00:00;14;3,4361E+11
469;202012;2020-12-01 00:00:00;14;2,77045E+11
470;202201;2022-01-01 00:00:00;14;2,9958E+11
471;202008;2020-08-01 00:00:00;14;2,69579E+11
472;202205;2022-05-01 00:00:00;14;3,25767E+11
473;201903;2019-03-01 00:00:00;14;2,38424E+11
474;202010;2020-10-01 00:00:00;14;2,76056E+11
475;202204;2022-04-01 00:00:00;14;3,20913E+11
476;202112;2021-12-01 00:00:00;14;2,96702E+11
477;202105;2021-05-01 00:00:00;14;2,87065E+11
478;202106;2021-06-01 00:00:00;14;2,92223E+11
479;201908;2019-08-01 00:00:00;14;2,50138E+11
480;202004;2020-04-01 00:00:00;14;2,614E+11
481;201910;2019-10-01 00:00:00;14;2,46953E+11
482;202102;2021-02-01 00:00:00;14;2,81261E+11
483;201906;2019-06-01 00:00:00;14;2,44202E+11
484;202111;2021-11-01 00:00:00;14;2,96988E+11
485;202001;2020-01-01 00:00:00;14;2,54739E+11
486;201812;2018-12-01 00:00:00;22;54507205432
487;201902;2019-02-01 00:00:00;22;54537945856
488;201901;2019-01-01 00:00:00;22;53765818436
489;201902;2019-02-01 00:00:00;10;7,85991E+11
490;201910;2019-10-01 00:00:00;10;8,26934E+11
491;201903;2019-03-01 00:00:00;10;7,68615E+11
492;202103;2021-03-01 00:00:00;10;9,39691E+11
493;202107;2021-07-01 00:00:00;10;9,55399E+11
494;201907;2019-07-01 00:00:00;10;7,9511E+11
495;201908;2019-08-01 00:00:00;10;7,99199E+11
496;202003;2020-03-01 00:00:00;10;8,25812E+11
497;202102;2021-02-01 00:00:00;10;9,36509E+11
498;202201;2022-01-01 00:00:00;10;1,03303E+12
499;201911;2019-11-01 00:00:00;10;8,27281E+11
500;202202;2022-02-01 00:00:00;10;1,04109E+12
501;202001;2020-01-01 00:00:00;10;8,39478E+11
502;201909;2019-09-01 00:00:00;10;8,23733E+11
