Columna1;fecham;cod_01;cod_02;tot_deuda;periodo
249;01-01-2021 0:00;24;18;4696728066;202101
250;01-01-2021 0:00;23;8;14683736275;202101
251;01-01-2021 0:00;18;24;20000333333;202101
252;01-01-2021 0:00;4;24;7100177500;202101
253;01-01-2021 0:00;20;24;30000500000;202101
254;01-01-2021 0:00;3;10;8827556080;202101
255;01-01-2021 0:00;24;6;223853;202101
256;01-02-2021 0:00;3;4;794624758;202102
257;01-02-2021 0:00;24;18;4639490946;202102
258;01-02-2021 0:00;4;18;5800120833;202102
259;01-02-2021 0:00;23;8;14574291070;202102
260;01-02-2021 0:00;20;24;20000333333;202102
261;01-02-2021 0:00;4;24;7000175000;202102
262;01-02-2021 0:00;18;24;20000333333;202102
263;01-02-2021 0:00;3;10;8658020803;202102
264;01-02-2021 0:00;24;6;134312;202102
265;01-03-2021 0:00;3;4;550420390;202103
266;01-03-2021 0:00;4;18;5850040625;202103
267;01-03-2021 0:00;23;8;14456957543;202103
268;01-03-2021 0:00;10;19;352595373;202103
269;01-03-2021 0:00;10;3;251268956;202103
270;01-03-2021 0:00;4;24;7000058333;202103
271;01-03-2021 0:00;18;24;160000000000;202103
272;01-03-2021 0:00;6;24;20000000000;202103
273;01-03-2021 0:00;3;10;8664255405;202103
274;01-03-2021 0:00;24;6;306180;202103
275;01-04-2021 0:00;3;4;1371750529;202104
276;01-04-2021 0:00;10;19;348926082;202104
277;01-04-2021 0:00;10;3;248654120;202104
278;01-04-2021 0:00;3;10;8542237588;202104
279;01-04-2021 0:00;24;6;306180;202104
280;01-05-2021 0:00;3;4;1393603295;202105
281;01-05-2021 0:00;10;19;205765403;202105
282;01-05-2021 0:00;10;3;252544912;202105
283;01-05-2021 0:00;8;24;120001000000;202105
284;01-05-2021 0:00;18;24;30000000000;202105
285;01-05-2021 0:00;3;10;8682476243;202105
286;01-05-2021 0:00;24;6;469452;202105
287;01-06-2021 0:00;3;4;531085851;202106
288;01-06-2021 0:00;10;19;339734489;202106
289;01-06-2021 0:00;10;3;746870183;202106
290;01-06-2021 0:00;8;24;100001000000;202106
291;01-06-2021 0:00;3;10;8757716316;202106
292;01-06-2021 0:00;24;6;469452;202106
293;01-07-2021 0:00;10;19;352392671;202107
294;01-07-2021 0:00;10;3;774697851;202107
295;01-07-2021 0:00;3;10;9155978581;202107
296;01-07-2021 0:00;18;23;25000520833;202107
297;01-07-2021 0:00;24;6;622308;202107
298;01-08-2021 0:00;10;19;319028578;202108
299;01-08-2021 0:00;10;3;516978706;202108
300;01-08-2021 0:00;10;24;62331150;202108
